This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007   ,5.73   ,5.33   ,4.70   ,6.02   ,4.72   ,4.85
199008  ,-9.52 ,-10.14 ,-10.74  ,-8.94 ,-10.80 ,-11.04
199009  ,-9.43  ,-9.75 ,-11.06 ,-11.10 ,-11.46 ,-13.02
199010   ,4.05   ,6.24   ,4.64   ,7.11   ,7.31   ,7.99
199011  ,-2.21  ,-2.07  ,-2.11   ,0.37   ,0.26   ,0.92
199012  ,-0.26   ,0.29  ,-0.93  ,-1.43  ,-0.80  ,-1.37
199101  ,-0.76  ,-1.70  ,-2.30   ,0.92   ,2.82   ,3.14
199102   ,7.70   ,9.59   ,9.84   ,6.53   ,7.87   ,9.04
199103  ,-6.00  ,-4.50  ,-3.39  ,-7.20  ,-5.52  ,-6.95
199104  ,-0.53   ,0.10  ,-1.50   ,0.51  ,-0.41  ,-1.16
199105  ,-0.89  ,-1.20  ,-3.01   ,1.64   ,2.30  ,-0.15
199106  ,-6.11  ,-5.50  ,-6.90  ,-6.76  ,-6.88  ,-7.64
199107   ,2.13   ,3.44   ,3.02   ,6.28   ,5.89   ,6.37
199108   ,0.67   ,1.62   ,0.60   ,2.23   ,1.87   ,1.89
199109   ,5.54   ,4.68   ,4.84   ,1.94   ,3.77   ,3.70
199110  ,-2.31  ,-2.52  ,-3.58  ,-2.38  ,-2.22  ,-1.52
199111  ,-1.65  ,-1.35  ,-1.66  ,-2.49  ,-1.84  ,-1.61
199112   ,1.30   ,4.42   ,3.30   ,6.56   ,7.38   ,7.18
199201  ,-0.40  ,-0.63  ,-1.11  ,-0.24   ,0.49  ,-0.44
199202   ,0.14  ,-0.55  ,-0.73  ,-1.03   ,0.27   ,0.16
199203  ,-3.51  ,-2.39  ,-3.29  ,-2.49  ,-3.64  ,-3.71
199204   ,5.51   ,3.23   ,3.82   ,6.51   ,5.57   ,4.40
199205   ,5.77   ,6.13   ,4.65   ,5.78   ,5.23   ,5.24
199206  ,-0.97   ,0.17  ,-1.25  ,-1.71  ,-0.45  ,-1.97
199207  ,-6.19  ,-3.59  ,-5.26  ,-3.87  ,-3.42  ,-3.87
199208  ,-3.02  ,-0.64  ,-1.58  ,-1.34  ,-0.41   ,0.23
199209  ,-6.15  ,-6.36  ,-5.71  ,-1.43  ,-2.06  ,-3.61
199210  ,-9.88  ,-9.01  ,-9.13  ,-8.27  ,-6.99  ,-6.69
199211  ,-2.00  ,-2.72  ,-4.07  ,-0.14   ,0.00  ,-0.40
199212   ,1.91  ,-0.29   ,1.34   ,2.00   ,1.34   ,1.19
199301   ,5.01   ,3.54   ,3.07   ,0.64   ,0.49   ,0.33
199302   ,0.70   ,1.23   ,0.06   ,1.20   ,1.77   ,1.23
199303   ,8.03   ,6.22   ,5.74   ,7.00   ,5.69   ,3.94
199304   ,6.34   ,5.38   ,5.05   ,2.42   ,1.50   ,1.61
199305   ,1.87   ,1.22   ,1.36   ,2.01   ,0.83   ,0.60
199306  ,-3.67  ,-4.61  ,-4.74  ,-2.03  ,-2.20  ,-4.83
199307   ,1.26   ,0.71   ,0.87   ,2.61   ,1.45   ,0.59
199308   ,9.91   ,9.90   ,9.69   ,8.00   ,9.27   ,8.81
199309   ,0.38   ,0.54   ,0.15  ,-0.21  ,-0.50  ,-0.90
199310   ,0.89   ,1.33   ,0.87   ,2.41   ,3.12   ,2.96
